total,solve 1,solve 2,solve 3,solve 4,solve 5,solve 6,solve 7,solve 8
h2,20111,20111,20111,20111,20111,20111,20111,20111
power,114.95,107.6123048,100.2802266,85.65532406,71.11129549,56.70012582,42.51499383,28.7302347
co2,98354.09672,96423.13121,94700.84873,91291.87154,87380.43357,83558.89718,79852.82042,76299.04515
ng,85796.67451,85041.46946,84367.03008,83032.10577,81500.23017,80003.60986,78552.27359,77160.68221
fg,233.5209727,227.8690921,224.3002771,217.2364029,209.1312242,201.2123699,193.5328143,186.1689228
