total,solve 1,solve 2,solve 3,solve 4,solve 5,solve 6,solve 7,solve 8,solve 9,solve 10,solve 11
h2,20110.56977,20110.56977,20110.56977,20110.56977,20110.56977,20110.56977,20110.56977,20110.56977,20110.56977,20110.56977,20110.56977
power,114.9528918,107.6123523,100.280272,92.96004103,85.65536529,78.37063921,71.11133245,63.88462235,56.70015837,49.57100661,42.51502174
co2,98354.11242,96634.93055,94954.17933,93342.01922,91650.39379,89687.27337,87746.35885,85829.66959,83939.63062,82079.30257,80252.71187
ng,85796.6712,85123.46229,84465.31842,83834.06236,83171.65905,82402.83676,81642.7216,80892.1059,80151.9413,79423.42893,78708.14906
fg,233.5210363,229.9334211,226.4260446,223.0618091,219.5317402,215.4350969,211.384795,207.3850488,203.4409192,199.5587935,195.747075
