total,solve 1,solve 2,solve 3,solve 4,solve 5,solve 6,solve 7
h2,20111.67096,20111.67096,20111.67096,20111.67096,20111.67096,20111.67096,20111.67096
power,374.9512753,334.466516,293.5085098,251.541253,209.0567424,166.2069337,123.250439
co2,305174.6734,291871.7749,278303.0165,264467.5533,250345.896,235927.2787,221194.6908
ng,-118196.2233,-112992.5361,-107684.4135,-102271.5967,-96746.53577,-91105.20108,-85341.28479
fg,505.2125649,465.2612636,425.1302838,384.7162467,343.8566245,302.2634794,259.3981324
